,year,nuts_id,nuts_year_spec,detection_sequencing_lq
162,2021,FI1,2016,0.0
163,2021,FR1,2016,0.5894904458598726
164,2021,FRB,2016,0.0
165,2021,FRC,2016,0.0
166,2021,FRD,2016,0.0
167,2021,FRE,2016,0.0
168,2021,FRF,2016,0.0
169,2021,FRG,2016,0.0
170,2021,FRH,2016,0.0
171,2021,FRI,2016,0.0
172,2021,FRJ,2016,0.0
173,2021,FRK,2016,0.0
174,2021,FRL,2016,5.339423076923078
175,2021,FRY,2016,0.0
176,2021,HR0,2016,0.0
177,2021,HU1,2016,0.0
178,2021,HU2,2016,0.0
179,2021,HU3,2016,0.0
180,2021,IE0,2016,0.0
181,2021,IS0,2016,0.0
182,2021,ITC,2016,0.0
183,2021,ITF,2016,0.0
184,2021,ITG,2016,0.0
185,2021,ITH,2016,0.0
186,2021,ITI,2016,0.0
187,2021,LT0,2016,0.0
188,2021,LU0,2016,0.0
189,2021,LV0,2016,0.0
190,2021,ME0,2016,0.0
191,2021,MK0,2016,0.0
192,2021,MT0,2016,0.0
193,2021,NL1,2016,0.0
194,2021,NL2,2016,1.6526785714285714
195,2021,NL3,2016,2.7087804878048782
196,2021,NL4,2016,0.0
197,2021,NO0,2016,0.0
198,2021,PL2,2016,0.0
199,2021,PL4,2016,0.0
200,2021,PL5,2016,0.0
201,2021,PL6,2016,0.0
202,2021,PL7,2016,0.0
203,2021,PL8,2016,0.0
204,2021,PL9,2016,0.0
205,2021,PT1,2016,0.0
206,2021,PT3,2016,0.0
207,2021,RO1,2016,0.0
208,2021,RO2,2016,0.0
209,2021,RO3,2016,0.0
210,2021,RS1,2016,0.0
211,2021,RS2,2016,0.0
212,2021,SE1,2016,0.0
213,2021,SE2,2016,0.0
214,2021,SE3,2016,0.0
215,2021,SI0,2016,0.0
216,2021,SK0,2016,25.240909090909096
217,2021,TR1,2016,10.678846153846155
218,2021,TR2,2016,46.275
219,2021,TR3,2016,19.83214285714286
220,2021,TR4,2016,92.55
221,2021,TR5,2016,10.888235294117647
222,2021,TR6,2016,46.275
223,2021,TR7,2016,0.0
224,2021,TR8,2016,138.825
225,2021,TRA,2016,0.0
226,2021,TRB,2016,0.0
227,2021,TRC,2016,0.0
228,2021,UKC,2016,0.0
229,2021,UKD,2016,1.5172131147540984
230,2021,UKE,2016,0.0
231,2021,UKF,2016,0.0
232,2021,UKG,2016,0.0
233,2021,UKH,2016,0.6739077669902913
234,2021,UKI,2016,2.1733855185909983
235,2021,UKJ,2016,0.0
236,2021,UKK,2016,0.0
237,2021,UKL,2016,0.0
238,2021,UKM,2016,3.0964684014869888
239,2021,UKN,2016,0.0
